Stakes,Response,Model,Sequence,Order_in_Sequence,Framing,Temperature
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
200,1,GPT-3.5,2,2,1,1
200,0,GPT-3.5,2,2,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,0,GPT-3.5,2,3,1,1
100,1,GPT-3.5,2,3,1,1
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
400,1,GPT-3.5,2,1,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
200,1,GPT-3.5,2,2,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
100,0,GPT-3.5,2,3,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
400,0,GPT-4,2,1,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
200,0,GPT-4,2,2,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
100,0,GPT-4,2,3,1,0
